day after tomorrow	ngày kia
question	câu hỏi
photograph	ảnh
car	xe hơi
to borrow	mượn
young	trẻ
weak	yếu
to take something	lấy cái gì
hand	tay
letter	thư
lesson	bài học
autumn	mùa thu
to finish	kết thúc
to learn	học
to live in	sống ở
ten	mười
ten days	mười ngày
heavy	nặng
homework	bài tập về nhà
to go out	ra ngoài
to put out	đưa ra
to appear	xuất hiện
exit	lối ra
spring	mùa xuân
beginning	sự bắt đầu
for the first time	lần đầu
place	nơi
hot	nóng
to write	viết
woman	phụ nữ
girl	cô gái
little	nhỏ
few	ít
a few	một vài
to disappear	biến mất
to erase	xóa
on top of	ở trên
to give	cho
skillful	khéo léo
jacket	áo khoác
strong	mạnh
to get on	lên (xe)
colour	màu
to eat	ăn
food	thức ăn
dining hall	nhà ăn
to go to bed	đi ngủ
new	mới
newspaper	báo
spicy	cay
person	người
library	thư viện
to blow	thổi
water	nước
Wednesday	thứ Tư
clear weather	trời quang
to be sunny	nắng
to be born	sinh ra
pupil	học trò
voice	giọng nói
west	phía tây
blue	xanh
quiet	yên tĩnh
red	đỏ
to cut	cắt
postage stamp	tem
ticket	vé
snow	tuyết
the future	tương lai
last month	tháng trước
last week	tuần trước
teacher	giáo viên
thousand	nghìn
river	sông
to wash	rửa
washing	giặt giũ
before	trước
all	tất cả
to clean	dọn / lau
early	sớm
window	cửa sổ
to run	chạy
foot	chân
quick	nhanh
village	làng
fat	béo
body	cơ thể
to wait	đợi
to lend	cho mượn
kitchen	nhà bếp
big	lớn
university	đại học
to be very likeable	rất thích
embassy	đại sứ quán
all right	ổn
adult	người lớn
great number of people	nhiều người
important	quan trọng
to take off clothes	cởi quần áo
short	ngắn
birthday	sinh nhật
to play an instrument with strings	chơi nhạc cụ dây
warm	ấm
man	đàn ông
boy	cậu bé
to know	biết
underground train	tàu điện ngầm
map	bản đồ
pond	ao
to put	đặt
late	muộn
brown	nâu
to arrive at	đến nơi
to put on from the shoulders down	mặc (áo khoác)
middle	giữa
noon	buổi trưa
midday meal	bữa trưa
breakfast	bữa sáng
town	thị trấn
long	dài
bird	chim
painful	đau
garden	vườn
younger brother	em trai
to tie	buộc
weather	thời tiết
shop	cửa hàng
to stick	dán
electricity	điện
electric train	tàu điện
telephone	điện thoại
to hand over	đưa
to go across	đi qua
to climb	leo
Saturday	thứ Bảy
winter	mùa đông
east	phía đông
to answer	trả lời
head	đầu
to work	làm việc
animal	động vật
same	giống
street	đường phố
to read	đọc
pork	thịt lợn
cloudy weather	trời nhiều mây
to become cloudy	trở nên nhiều mây
south	phía nam
difficult	khó
two	hai
20 years old	hai mươi tuổi
twenty days	hai mươi ngày
two people	hai người
two days	hai ngày
bustling	náo nhiệt
meat	thịt
Sunday	Chủ nhật
to enter	vào
to put in	cho vào
entrance	cửa vào
cat	mèo
hot to the touch	nóng khi chạm
year	năm
height	chiều cao
business suit	vest
shopping	mua sắm
to buy	mua
to sell	bán
grandfather	ông
aunt	cô / dì
white	trắng
box	hộp
eight	tám
eight days	tám ngày
greengrocer	cửa hàng rau
half	một nửa
half minute	nửa phút
noisy	ồn ào
evening	buổi tối
evening meal	bữa tối
number	số
to get tired	mệt
to fly	bay
aeroplane	máy bay
nose	mũi
hundred	trăm
hospital	bệnh viện
illness	bệnh
room	phòng
envelope	phong bì
wind	gió
a cold	cảm lạnh
clothes	quần áo
thing	vật / chuyện
to be understood	được hiểu
sentence	câu
to hear	nghe
to line up	xếp hàng
to close	đóng
to close something	đóng cái gì
area	khu vực
to return something	trả lại
useful	hữu ích
to study	học
to walk	đi bộ
hat	mũ
to forget	quên
busy	bận
north	phía bắc
book	sách
bookshelves	kệ sách
to brush teeth	đánh răng
(humble) younger sister	em gái (khiêm)
every month	hàng tháng
every week	hàng tuần
every morning	mỗi sáng
every day	mỗi ngày
every year	hàng năm
every night	mỗi đêm
ten thousand	mười nghìn
fountain pen	bút máy
to lose something	làm mất
name	tên
bright	sáng
tomorrow	ngày mai
animal noise. to chirp	kêu / hót
tree	cây
Thursday	thứ Năm
eye	mắt
problem	vấn đề
gate	cổng
vegetable	rau
medicine	thuốc
friend	bạn
famous	nổi tiếng
to play	chơi
post office	bưu điện
dinner	bữa tối
western-style clothes	quần áo kiểu Tây
postcard	bưu thiếp
to need	cần
want	muốn
to come	đến
next month	tháng sau
next week	tuần sau
next year	năm sau
to ask	hỏi
egg	trứng
to stand	đứng
overseas student	du học sinh
travel	du lịch
both parents	bố mẹ
cuisine	ẩm thực
refreshing	mát mẻ
green	xanh lá
next door to	nhà bên cạnh
cold to the touch	lạnh khi chạm
refrigerator	tủ lạnh
to practice	luyện tập
corridor	hành lang
six	sáu
six days	sáu ngày
talk	câu chuyện
to speak	nói chuyện
Ah	a
like that	như thế
to greet	chào
infant	em bé
accessory	phụ kiện
Asia	châu Á
announcer	phát thanh viên
Africa	châu Phi
America	Mỹ
part-time job	việc làm thêm
to tease	trêu
(humble) to receive	nhận (khiêm)
full	đầy
(respectful) to be	ở (tôn kính)
to visit	thăm
a lie	lời nói dối
within	trong
glad	vui mừng
(informal) yes	ừ
escalator	thang cuốn
motorcycle	xe máy
owing to	do
strange or funny	lạ / buồn cười
(respectful) to say	nói (tôn kính)
change from purchase	tiền thối
toy	đồ chơi
rich man	người giàu
calling on someone who is ill	thăm người ốm
festival	lễ hội
congratulation	chúc mừng
young lady	cô gái
(polite) your house	nhà bạn (lịch sự)
souvenir	quà lưu niệm
expression of gratitude	lời cảm ơn
curtain	rèm
petrol	xăng
petrol station	trạm xăng
appearance	vẻ ngoài
to mind	để tâm
a glass pane	tấm kính
surely	chắc chắn
(respectful) to give	cho (tôn kính)
cake	bánh ngọt
to injure	làm bị thương
to quarrel	cãi nhau
this way	phía này
a feast	bữa đãi
the other day	hôm nọ
these days	dạo này
rubbish	rác
(respectful) to see	xem (tôn kính)
after this	sau đây
concert	buổi hòa nhạc
computer	máy tính
knowing	biết
some time ago	lúc nãy
salad	salad
sandal	dép sandal
sandwich	bánh sandwich
the month after next	tháng sau nữa
the week after next	tuần sau nữa
a particular	một cái cụ thể
firmly	chắc chắn
little while	một lúc
hindrance	trở ngại
jam	mứt
extremely	cực kỳ
suit	bộ vest
suitcase	vali
to become empty	trở nên trống
screen	màn hình
completely	hoàn toàn
straight	thẳng
steak	bít tết
stereo	dàn stereo
wonderful	tuyệt vời
pickpocket	kẻ móc túi
then	sau đó
without fail	nhất định
not entirely (used in a negative sentence)	không hẳn (câu phủ định)
really	thật sự
soft	mềm
because of that	vì thế
moreover	hơn nữa
to that extent	đến mức đó
that sort of	kiểu đó
so much	nhiều đến thế
usually	thường
type	loại
so	vậy
occasionally	thỉnh thoảng
no good	không được
to check	kiểm tra
not at all (used with a negative verb)	không ... chút nào
suffix for familiar female person	hậu tố gọi thân mật với nữ
moon	mặt trăng
intention	ý định
text	văn bản
as much as possible	càng nhiều càng tốt
tennis	quần vợt
finally	cuối cùng
barber	thợ cắt tóc
more and more	ngày càng
(respectful) to do	làm (tôn kính)
now I understand	ra là vậy
a smell	mùi
to get wet	bị ướt
price	giá
enthusiasm	nhiệt tình
throat	cổ họng
part time	bán thời gian
it should be so	đáng lẽ vậy
personal computer	máy tính cá nhân
clearly	rõ ràng
handbag	túi xách
piano	đàn piano
beard	râu
to be surprised	ngạc nhiên
awful	tồi tệ
building or bill	tòa nhà / hóa đơn
fax	fax
grapes	nho
present	quà
bell	chuông
extent	mức độ
mostly	phần lớn
to praise	khen
serious	nghiêm túc
first of all	trước hết
or	hoặc
soon	chẳng bao lâu
if	nếu
of course	dĩ nhiên
to receive	nhận
at last	cuối cùng
as I thought	đúng như nghĩ
(respectful) OK	được ạ (tôn kính)
register	đăng ký
report	báo cáo
word processor	máy soạn thảo
relief	an tâm
safety	an toàn
to guide	hướng dẫn
less than	ít hơn
with the exception of	ngoại trừ
more than	hơn
opinion	ý kiến
in order to	để
to move house or transfer	chuyển nhà / chuyển chỗ
medical science	y học
to rear	nuôi
with utmost effort	hết sức
once	một lần
drawer	ngăn kéo
to withdraw	rút
to move house	chuyển nhà
to transport	vận chuyển
to drive	lái xe
driver	tài xế
to exercise	tập thể dục
cloud	mây
way of swimming	cách bơi
distant	xa
to be reserved	dè dặt
to get dirty	bị bẩn
closet	tủ quần áo
one hundred million	một trăm triệu
rooftop	sân thượng
sound	âm thanh
to hang	treo
to get down	xuống
lodging	chỗ trọ
underwear	đồ lót
housewife	nội trợ
science	khoa học
fire	lửa
cherry-blossom viewing	ngắm hoa anh đào
section manager	trưởng phòng
to exceed	vượt quá
meeting	cuộc họp
meeting room	phòng họp
assembly hall or meeting place	hội trường
conversation	hội thoại
to go around	đi vòng
to break	làm vỡ
to be broken	bị vỡ
coast	bờ biển
everybody	mọi người
to open an event	khai mạc
definite	chắc chắn
joy	niềm vui
to enjoy oneself	tận hưởng
to hang something	treo cái gì
rate	tỷ lệ
to slide	trượt
to bite	cắn
to get dry	khô
to grow accustomed to	quen với
female nurse	nữ y tá
simple	đơn giản
a space	khoảng trống
to be in time for	kịp giờ
to make a mistake	mắc lỗi
relationship	quan hệ
danger	nguy hiểm
to be delighted	vui mừng
opportunity	cơ hội
return	sự trở về
spirit	tinh thần
feeling	cảm giác
mood	tâm trạng
steam train	tàu hơi nước
to pray	cầu nguyện
season	mùa
regulations	quy định
to wake	đánh thức
art	nghệ thuật
guest	khách
after a long time	lâu rồi
urgent	khẩn cấp
to hurry	vội
speedy	nhanh
to weep	khóc
competition	cuộc thi
education	giáo dục
church	nhà thờ
an interest	sự quan tâm
mirror	gương
neighbourhood	khu phố
bitter	đắng
condition	tình trạng
air	không khí
airport	sân bay
corner	góc
(informal) You (used by men towards women)	cậu (nam gọi nữ)
shape	hình dạng
scene	cảnh
to experience	trải nghiệm
finance	tài chính
to plan	lập kế hoạch
police	cảnh sát
to go out to meet	ra đón
never	không bao giờ
to decide	quyết định
to be decided	được quyết định
blood	máu
hard	cứng / chăm chỉ
to build	xây
research	nghiên cứu
study room	phòng học
silk	lụa
to be in sight	trong tầm mắt
to be discovered	được phát hiện
to discover	phát hiện
sightseeing	tham quan
cause	nguyên nhân
strict	nghiêm khắc
to break-down	hỏng
lake	hồ
(honorable) your husband	chồng bạn (tôn kính)
traffic	giao thông
to shine	chiếu sáng
government worker	công chức
to face	đối mặt
the manufacturing industry	công nghiệp chế tạo
factory	nhà máy
headmaster	hiệu trưởng
harbour	cảng
to consider	cân nhắc
lecture	bài giảng
auditorium	giảng đường
outskirts	ngoại ô
to start to rain	bắt đầu mưa
high school	trường cấp ba
high school student	học sinh cấp ba
to match	phù hợp
international	quốc tế
to be crowded	đông đúc
tonight	tối nay
(polite) to give	cho (lịch sự)
sand	cát
latest	mới nhất
last	cuối cùng
(humble) wife	vợ (khiêm)
small	nhỏ
slope	dốc
(humble) to go	đi (khiêm)
industry	công nghiệp
to remain	còn lại
disappointment	thất vọng
method	phương pháp
city	thành phố
citizen	công dân
to think	nghĩ
finger	ngón tay
finger ring	nhẫn
to prepare	chuẩn bị
branch	cành / chi nhánh
to stop	dừng
to stop something	dừng cái gì
thread	sợi chỉ
examination	kỳ thi
dentist	nha sĩ
accident	tai nạn
office	văn phòng
to be similar	tương tự
character	ký tự / tính cách
temple	chùa
era	thời đại
to be cured	được chữa khỏi
freedom	tự do
failure	thất bại
to copy or photograph	sao chép / chụp
to throw away	vứt
society	xã hội
company president	giám đốc
to apologize	xin lỗi
lonely	cô đơn
to exchange	đổi
glove	găng tay
to assist	hỗ trợ
hobby	sở thích
neck	cổ
to take a lesson or test	học / thi
receipt	biên lai
surroundings	xung quanh
to pick up	nhặt
the end	kết thúc
custom	phong tục
ship	tàu thuyền
to collect something	thu thập
to gather	tụ họp
an address	địa chỉ
enough	đủ
judo	judo
to attend	tham dự
to depart	xuất phát
to win	thắng
(polite) to eat	ăn (lịch sự)
future	tương lai
elementary school	trường tiểu học
novel	tiểu thuyết
small bird	chim nhỏ
to consent	đồng ý
to invite	mời
eraser	cục tẩy
to bake	nướng
to burn	đốt / cháy
to laugh	cười
introduction	giới thiệu
to rise	tăng / lên
to change between buses or trains	chuyển tuyến
vehicle	phương tiện
situation	tình huống
location	vị trí
Japanese straw mat	chiếu tatami
to decorate	trang trí
to plant	trồng
to touch	chạm
to have a meal	ăn cơm
groceries	thực phẩm
sleeping in late	ngủ nướng
core	lõi / cốt lõi
to worry	lo
newspaper company	tòa soạn báo
forest	rừng
deep	sâu
(humble) to say	nói (khiêm)
(humble) to be called	được gọi (khiêm)
Shinto shrine	đền Shinto
parents	bố mẹ
kindness	lòng tốt
to make progress	tiến bộ
doll	búp bê
population	dân số
swimming	bơi lội
water supply	cấp nước
mathematics	toán học
the world	thế giới
to look after	chăm sóc
terrific	tuyệt
politics	chính trị
star	ngôi sao
correct	đúng
to live	sống
to produce	sản xuất
popularity	độ nổi tiếng
western countries	các nước phương Tây
seat	chỗ ngồi
olden days	ngày xưa
stone	đá
baby	em bé
to break or to fold	bẻ / gấp
to break or be folded	bị gãy / bị gấp
explanation	giải thích
senior	đàn anh
war	chiến tranh
shallow	nông
line	đường / hàng
to choose	chọn
to become thin	gầy đi
to discuss	thảo luận
grass	cỏ
to send	gửi
to make noise	làm ồn
to increase	tăng
gift	quà
(humble) son	con trai (khiêm)
to add a number	cộng
to be enough	đủ
to be continued	được tiếp tục
to continue	tiếp tục
graduation	tốt nghiệp
to become fat	béo lên
to hit	đánh
to leave hospital	xuất viện
substitute	thay thế
typhoon	bão
university student	sinh viên
generally	nói chung
greatly	rất / lớn
shelves	kệ
to look for	tìm
heating	sưởi
male	nam
to notify	thông báo
earthquake	động đất
geography	địa lý
embarrassed	xấu hổ
(humble) to do	làm (khiêm)
to be late	trễ
kimono	kimono
considerably	khá
junior high school	trường cấp hai
daytime	ban ngày
noon break	giờ nghỉ trưa
caution	chú ý
injection	mũi tiêm
insect	côn trùng
parking lot	bãi đỗ xe
polite	lịch sự
to investigate	điều tra
to fix	sửa
to be fixed	được sửa
rare	hiếm
to commute	đi làm / đi học
to go through	đi xuyên
to soak	ngâm
to fish	câu cá
thief	kẻ trộm
suitability	sự phù hợp
weather forecast	dự báo thời tiết
exhibition	triển lãm
shop assistant	nhân viên cửa hàng
point	điểm
to report	báo cáo
countryside	nông thôn
electric light	đèn điện
telegram	điện tín
to paint	sơn / vẽ
on the way	trên đường
metropolitan	thuộc đô thị
circumstances	hoàn cảnh
to get angry	tức giận
to break down	hỏng
island	đảo
to throw or cast away	ném đi
to steal	ăn cắp
hot water	nước nóng
response	phản hồi
to step on	giẫm
to escape	trốn
to move	di chuyển
zoo	sở thú
tool	dụng cụ
particularly	đặc biệt
limited express train (faster than an express train)	tàu tốc hành
special	đặc biệt
to reach	đạt tới
two storied	hai tầng
day	ngày
journal	nhật ký / tạp chí
to hospitalise	nhập viện
to enter school or university	nhập học
fever	sốt
(humble) to look at	nhìn (khiêm)
back of the body	lưng
double	gấp đôi
place where things are sold	nơi bán hàng
to lodge at	trọ tại
pronunciation	cách phát âm
hair	tóc
opposition	sự phản đối
television or radio program	chương trình TV/radio
he	anh ấy
they	họ
she	cô ấy
sad	buồn
to compare	so sánh
beautiful	đẹp
art gallery	phòng trưng bày
certainly	chắc chắn
necessary	cần thiết
the front	phía trước
goods	hàng hóa
inconvenience	bất tiện
to be attached	được gắn
husband	chồng
Japanese bedding	futon
frightening	đáng sợ
to lose	thua / mất
head of a section	trưởng bộ phận
revision	sửa đổi
complexity	sự phức tạp
to pay	trả tiền
to boil	đun sôi
culture	văn hóa
literature	văn học
grammar	ngữ pháp
to be heard	được nghe
uncooked rice	gạo
wall	tường
different	khác
to separate	tách
strange	lạ
to change	thay đổi
to tidy up	dọn dẹp
reply	hồi đáp
to seize	nắm
to get dark	trời tối
to wrap	gói
to broadcast	phát sóng
law	luật
lost article	đồ thất lạc
trade	thương mại
I (used by males)	tôi (nam dùng)
translation	bản dịch
comic	truyện tranh
flavour	hương vị
bean paste	tương miso
sleepy	buồn ngủ
to sleep	ngủ
dream	giấc mơ
impossible	không thể
(humble) daughter	con gái (khiêm)
to sound	kêu
hair or fur	tóc / lông
cotton	bông
to turn back	quay lại
to be helpful	hữu ích
promise	lời hứa
to export	xuất khẩu
to import	nhập khẩu
play	trò chơi
preparation for a lesson	chuẩn bị bài
arrangement	sắp xếp
reservation	đặt chỗ
to shake	lắc
use	sử dụng
preparation	chuẩn bị
things to do	việc cần làm
leaf	lá
a dance	điệu nhảy
to dance	nhảy
to drop	làm rơi
to fall or drop	rơi
utilization	việc sử dụng
reason	lý do
reverse side	mặt trái
to stand something up	dựng lên
absence	vắng mặt
Japanese hotel	nhà trọ Nhật
both sides	cả hai phía
strength	sức mạnh
woods	rừng cây
for example	ví dụ
to grow cold	lạnh đi
air conditioning	điều hòa
history	lịch sử
to lead	dẫn dắt
contact	liên lạc
arm	cánh tay
# extra n3-n1 high-frequency glosses
plan	kế hoạch
duty	nhiệm vụ
agreement	thỏa thuận
request	yêu cầu
situation	tình hình
intention	ý định
appearance	vẻ ngoài / sự xuất hiện
union	liên minh
perhaps	có lẽ
suddenly	đột nhiên
section	mục / khu
entirely	hoàn toàn
training	đào tạo
discussion	thảo luận
practice	luyện tập
order	thứ tự / đơn hàng
truth	sự thật
to stop	dừng
here and there	đây đó
anyhow	dù sao
system	hệ thống
side	phía
change	thay đổi
to hang	treo
therefore	do đó
to finish	kết thúc
each	mỗi
value	giá trị
report	báo cáo
management	quản lý
simplicity	sự đơn giản
at once	ngay lập tức
passage	đoạn văn / lối đi
subject	chủ đề
to burn	đốt
interview	phỏng vấn
course	khóa học
absurd	vô lý
to be mixed	bị trộn
combination	sự kết hợp
example	ví dụ
regulation	quy định
confrontation	đối đầu
establishment	thành lập
arrangement	sắp xếp
mutual	lẫn nhau
poor	nghèo / kém
lovely	đáng yêu
group	nhóm
however	tuy nhiên
chance	cơ hội
love	tình yêu
information	thông tin
to change	thay đổi
to remove	tháo / bỏ
difference	sự khác biệt
moment	khoảnh khắc
resolution	nghị quyết / quyết tâm
action	hành động
foundation	nền tảng
to shine	tỏa sáng
idea	ý tưởng
possibly	có thể
must not do	không được làm
wrong	sai
not good	không tốt
tease	trêu
market	chợ / thị trường
sometime	lúc nào đó
someday	một ngày nào đó
one day	một ngày
never	không bao giờ
forever	mãi mãi
welcome	chào mừng
unfortunately	thật đáng tiếc
sorry	xin lỗi
every	mỗi
trace	dấu vết
tracks	đường ray / dấu
remains	di tích
ruins	tàn tích
scar	sẹo
album	album
remainder	phần còn lại
ice cream	kem
iron	bàn ủi / sắt
out	ra ngoài
ink	mực
whisky	rượu whisky
to groan	rên
loud	to
fussy	kỹ tính
irritation	sự khó chịu
nervous	căng thẳng
so-called	cái gọi là
so to speak	nói cách khác
to that degree	đến mức đó
not much	không nhiều
expression of gratitude before meals	lời cảm ơn trước bữa ăn
at all times	luôn luôn
indefinitely	vô thời hạn
every time	mỗi lần
getting nervous	căng thẳng
to moan	rên rỉ
gargle	súc miệng
rinse mouth	súc miệng
fair	hội chợ / công bằng
as long as one likes	bao lâu tùy thích
eternally	vĩnh viễn
for good	vĩnh viễn
never (neg)	không bao giờ
never (with neg. verb)	không bao giờ (câu phủ định)
(at) any time	bất cứ lúc nào
TODO same as いいえ?	không
(conj	liên từ
exp	biểu hiện
int) thank you	cảm ơn
(1) trace	dấu vết
(2) remains	di tích
(3) scar	sẹo
ah!	a
oh!	ồ
but....	nhưng
(electric) iron	bàn ủi điện
well	nào / tốt
business	công việc / kinh doanh
now	bây giờ
all	tất cả
work	công việc
class	lớp / hạng
woman	phụ nữ
before	trước
use	sử dụng
rest	nghỉ ngơi
good	tốt
to pass	đi qua / đỗ
to unfasten	cởi
to be mixed	bị lẫn
interview	phỏng vấn
establishment	cơ sở / thành lập
discussion	thảo luận
confrontation	đối đầu
regulation	quy định
example	ví dụ
combination	kết hợp
absurd	vô lý
course	khóa / đường đi
subject	chủ đề / môn
passage	đoạn / lối
simplicity	giản dị
management	quản lý
value	giá trị
each	mỗi
therefore	do đó
noisy	ồn
well	thôi / nào
truth	sự thật
to stop	dừng lại
practice	thực hành
order	thứ tự
plan	kế hoạch
duty	bổn phận
agreement	thỏa thuận
request	yêu cầu
section	phần
entirely	toàn bộ
training	huấn luyện
perhaps	có lẽ
suddenly	bỗng
union	công đoàn / liên minh
appearance	dáng vẻ
intention	ý định
situation	tình hình
to boil	luộc / sôi
to hang	móc
system	hệ thống
side	bên
area	khu
change	thay đổi
meeting	cuộc họp
anyhow	dù sao đi nữa
and	và
or	hoặc
here and there	chỗ này chỗ kia
ice cream	kem
unfortunately	tiếc là
sorry	xin lỗi
out	ra
every	mọi
possibly	có khả năng
album	tập ảnh
remainder	phần dư
wrong	sai trái
tease	trêu chọc
market	thị trường
sometime	khi nào đó
someday	một ngày nào
forever	mãi
welcome	hoan nghênh
loud	ầm ĩ
fussy	kén chọn
nervous	lo lắng
idea	ý
policy	chính sách
theory	lý thuyết
principle	nguyên tắc
standard	tiêu chuẩn
quality	chất lượng
quantity	số lượng
average	trung bình
majority	đa số
minority	thiểu số
individual	cá nhân
public	công cộng
private	riêng tư
official	chính thức
unofficial	không chính thức
