10^24	10 mũ 24
hanging bell	chuông treo
hard struggle	vật lộn
having some knowledge of	biết đôi chút
heavenly body	thiên thể
height above sea level	độ cao so với mực nước biển
height of prosperity	thịnh vượng tột đỉnh
herculean strength	sức mạnh phi thường
high and low	cao thấp
historic ruins	di tích
holding a meeting	tổ chức họp
horse racing	đua ngựa
house for rent	nhà cho thuê
house of councillors	Tham nghị viện
house-cloth	khăn lau nhà
if at all possible	nếu có thể
imperial palace	hoàng cung
implying that something is full of e.g. mistakes	ám chỉ đầy (lỗi)
in a line	thành hàng
in order	theo thứ tự
in some way or other	bằng cách nào đó
in succession	nối tiếp
in the middle of	đang giữa
in the street	trên phố
in two equal parts	chia đôi
in very small pieces	thành mảnh vụn
inaccessible place	nơi khó tới
income and expenditure	thu chi
index finger	ngón trỏ
industrial arts	mỹ nghệ
industrial enterprise	xí nghiệp
inferior article	hàng kém
infiltration	thẩm thấu
inside out	lộn trái
internist clinic	khoa nội
intransitive verb	nội động từ
iron and steel	gang thép
iron scraps	sắt vụn
it is i who should say so	chính tôi mới phải nói vậy
it seems like	hình như
japanese cedar	cây tuyết tùng Nhật
japanese chess	cờ shogi
japanese clothes	trang phục Nhật
japanese soup bowl	bát súp Nhật
japanese style	kiểu Nhật
japanese text	văn bản Nhật
jet aeroplane	máy bay phản lực
junior	cấp dưới
junior college	cao đẳng
just a minute	đợi một chút
just above	ngay phía trên
kana orthography	chính tả kana
kind of cookie	loại bánh quy
knitting wool	len đan
lack of harmony	thiếu hài hòa
lamp oil	dầu đèn
land near the castle	đất gần thành
lapse of memory	quên
last on the list	cuối danh sách
latitude	vĩ độ
lead	chì
leading part	vai chính
leaving hospital	xuất viện
lecture cancelled	hủy buổi học
legislative bill	dự luật
level of humidity	độ ẩm
life and death	sống chết
life span	tuổi thọ
likes and dislikes	thích và ghét
limited express train	tàu tốc hành
listening comprehension	nghe hiểu
literary style	văn phong
literary work	tác phẩm văn học
living room	phòng khách
living together	chung sống
local express	tàu nhanh địa phương
long time period	thời gian dài
look the other way	nhìn chỗ khác
looking away	ngoảnh mặt
looking forward to	mong đợi
losing something	làm mất
loss and gain	lỗ lãi
lost child	trẻ lạc
lost property	đồ thất lạc
lower house	hạ viện
lower official	quan nhỏ
main building	tòa nhà chính
main gate	cổng chính
main leadership	lãnh đạo chính
main street	phố chính
make-up	trang điểm
making necessary arrangements	sắp xếp cần thiết
man and wife	vợ chồng
man of talent	người tài
manufactured goods	hàng chế tạo
married couple	vợ chồng
mars	sao Hỏa
mass communication	truyền thông đại chúng
masters degree program	chương trình thạc sĩ
maternity and gynecology department	khoa sản phụ
maternity leave	nghỉ thai sản
matter of taste	vấn đề sở thích
member of the diet	nghị sĩ
middle ages	trung cổ
migratory bird	chim di cư
military affairs	quân sự
military or naval uniform	quân phục
mind and body	tinh thần và thể xác
mine	mỏ
minister of finance	bộ trưởng tài chính
minuscule amount	lượng rất nhỏ
mixed race	lai
month	tháng
month after next	tháng sau nữa
month before last	tháng trước nữa
monthly installment	trả góp hàng tháng
monthly tuition fee	học phí tháng
months and years	tháng năm
moving	chuyển nhà
mr or mrs	ông/bà
multi-unit apartments	chung cư
musical instrument	nhạc cụ
musical performance	buổi biểu diễn nhạc
national defence	quốc phòng
national holiday	ngày lễ quốc gia
national or state border	biên giới
national ownership	sở hữu nhà nước
native japanese reading of a chinese character	cách đọc kun của chữ Hán
neglecting to stay in contact	không liên lạc
new face	gương mặt mới
noodles	mì
north pole	Bắc cực
not at all	không chút nào
not entirely	không hẳn
not writing or contacting for a while	lâu không liên lạc
not yet known	chưa biết
noted product	đặc sản
odd number	số lẻ
of the same age	cùng tuổi
official tour	công tác
oil painting	tranh sơn dầu
old people	người già
on hand	trong tay
on purpose	cố ý
one by one	từng cái một
one thing or another	nọ kia
one-piece dress	váy liền
one-way	một chiều
opening of a meeting	khai mạc
out of print	hết bản
outside the area	ngoài khu vực
outward appearance	bề ngoài
oversleeping	ngủ quên
paper sliding door	cửa giấy trượt
parking	đỗ xe
part of word written in kana	phần viết kana
particular case	trường hợp cụ thể
passenger	hành khách
patrol car	xe tuần tra
paulownia tree	cây paulownia
pawn	đồ cầm
pay by proxy	trả hộ
pedestrian traffic	người đi bộ
perfect score	điểm tuyệt đối
perfectly circular	tròn trịa
person in charge	người phụ trách
phone extension	máy nhánh
pitch black	đen kịt
pitiful	đáng thương
place of work	nơi làm việc
playing wind instruments	thổi nhạc cụ
please wait a moment	xin đợi một chút
pleased to meet you	rất hân hạnh
point of view	quan điểm
pointing out	chỉ ra
police inspector	cảnh sát điều tra
porcelain bowl	bát sứ
prefectural governor	tỉnh trưởng
prefectural office	tỉnh đường
presenting to the public	công bố
prevention of crime	phòng chống tội phạm
prices of commodities	giá cả hàng hóa
primary factor	yếu tố chính
prime minister	thủ tướng
printing type	khuôn chữ
prisoner	tù nhân
private home providing lodging for travelers	nhà trọ tư nhân
private ownership	sở hữu tư nhân
private railway	đường sắt tư nhân
proceeding to the capital	lên kinh
producing area	vùng sản xuất
product of the land	thổ sản
professional duties	nhiệm vụ nghề nghiệp
proposing a question	đặt câu hỏi
public corporation	công ty công
public prosecutor	công tố viên
public works	công trình công
puckery juice	nước chát
punctuation marks	dấu câu
pupil in .... year	học sinh năm...
pure white	trắng tinh
quarterly	hàng quý
quick temper	nóng tính
radical	bộ thủ
rainy season	mùa mưa
rainy weather	thời tiết mưa
rapid	nhanh
raw food	thực phẩm sống
raw materials	nguyên liệu
ray	tia
real estate	bất động sản
register of names	danh sách tên
regular holiday	ngày nghỉ định kỳ
religious mission	sứ mệnh tôn giáo
remaining money	tiền còn lại
required	bắt buộc
retaining warmth	giữ ấm
returning home	về nhà
returning to tokyo	về Tokyo
rice planting	cấy lúa
rice seedling	mạ
rich family	nhà giàu
right in front	ngay trước mặt
right under	ngay bên dưới
roadside tree	cây ven đường
rolling about	lăn qua lăn lại
roof tile	ngói
room to let	phòng cho thuê
rounding up	làm tròn lên
row of houses	dãy nhà
rowing boat	thuyền chèo
running away from home	bỏ nhà
rush hour	giờ cao điểm
rust	rỉ sét
salty	mặn
santa claus	ông già Noel
savage land	đất hoang
school lunch	cơm nhà trường
sea bathing	tắm biển
sea route	đường biển
seal	con dấu
second	giây
second helping	thêm một suất
second third of a month	mười ngày giữa tháng
section of village	xóm
seeing	nhìn thấy
send specially	gửi đặc biệt
sentence in english	câu tiếng Anh
sexual intercourse	quan hệ tình dục
sharing with	cùng chia sẻ
shop which handles western-style apparel and accessories	cửa hàng đồ Tây
short wave	sóng ngắn
shut mouth	ngậm miệng
side dish	món phụ
sign of life	dấu hiệu sự sống
simultaneous	đồng thời
sincerely yours	trân trọng
single word	một lời
singular	số ít
sliding screen	bình phong trượt
sliding storm door	cửa bão trượt
smartly dressed	ăn mặc bảnh
smelling of fish or blood	mùi tanh
smiling face	nụ cười
soba	mì soba
solid	rắn
solid body	khối rắn
somehow or other	bằng cách nào đó
something heard for the first time	lần đầu nghe
something or other	cái gì đó
sorry to have kept you waiting	xin lỗi đã để chờ
sound asleep	ngủ say
south and north	nam bắc
specific gravity	tỷ trọng
stand in a row	đứng thành hàng
staple food	lương thực chính
start of work	bắt đầu làm
sticky rice cake	bánh gạo
stone monument bearing an inscription	bia đá
stopping	dừng
storage room	kho
stroboscope	đèn stroboscope
studying abroad	du học
subordinate person	cấp dưới
subscription	đặt mua
sumo grand champion	yokozuna
sumo wrestling	sumo
sunny place	chỗ nắng
superior	cấp trên
sure	chắc chắn
sure enough	quả nhiên
surface mail	thư đường bộ
surgical department	khoa ngoại
switching over to	chuyển sang
synthetic fibres	sợi tổng hợp
table of contents	mục lục
table with heater	bàn kotatsu
taking an examination	dự thi
taking refuge	lánh nạn
tatami room	phòng tatami
tea ceremony	trà đạo
tea drinking	uống trà
teaching certificate	chứng chỉ dạy học
teaching materials	tài liệu giảng dạy
temperate zone	ôn đới
tennis court	sân tennis
territorial waters	vùng biển lãnh thổ
thank you	cảm ơn
thank you very much for your	xin cảm ơn vì
thanks to god	tạ ơn trời
the evening sun	nắng chiều
the japanese flag	cờ Nhật
the japanese syllabary	bảng kana
the latter	cái sau
the number of flat things	số đồ dẹt
the one concerned	người liên quan
the opposite sex	giới tính kia
the person himself	bản thân người đó
the sense of hearing	thính giác
the very best	tốt nhất
the whole body	toàn thân
things like	những thứ như
tissue paper	khăn giấy
to abbreviate	viết tắt
to accomplish	hoàn thành
to accustom	làm quen
to add one thing to another	cộng thêm
to add to	thêm vào
to address	xưng hô
to advance	tiến lên
to afflict	làm khổ
to aim at	nhắm tới
to amass	tích lũy
to append	thêm vào
to ascertain	xác nhận
to assemble	lắp ráp
to attach	gắn
to awaken	đánh thức
to bark	sủa
to bear	chịu đựng
to bear fruit	ra quả
to bear in mind	ghi nhớ
to beat	đánh
to behave	cư xử
to behave like a spoiled child	hành xử như trẻ hư
to bless	ban phước
to bring	mang đến
to broaden	mở rộng
to bury	chôn
to calm down	bình tĩnh lại
to capture	bắt
to carve	chạm khắc
to coincide	trùng khớp
to comfort	an ủi
to compensate for	bù đắp
to consult with	tham khảo
to cool	làm mát
to cool oneself	làm mát người
to count	đếm
to cover	che
to creep	bò
to cross	băng qua
to deceive	lừa
to deepen	làm sâu
to deify	thần thánh hóa
to deny	phủ nhận
to deprecate oneself and praise the listener	hạ mình khen người
to dig	đào
to dilute	pha loãng
to disgrace	làm nhục
to dissolve	hòa tan
to draw near	tiến gần
to dye	nhuộm
to enquire	hỏi
to envy	ghen tị
to excel	xuất sắc
to extend over or into	kéo dài sang
to extract	chiết xuất
to fan	quạt
to flood	ngập
to fold	gấp
to follow	theo
to forecast	dự báo
to get cross	nổi giận
to get strong	trở nên mạnh
to hasten	vội
to heat	đun nóng
to hesitate	do dự
to incline toward	nghiêng về
to interrupt	cắt ngang
to jar	rung
to knit	đan
to lay in stock	nhập kho
to lean against	dựa vào
to let go	buông
to let loose	thả
to long for	khao khát
to loosen	nới lỏng
to lower	hạ xuống
to mince	băm nhỏ
to mourn	tang chế
to mutter	lẩm bẩm
to omit	bỏ sót
to peel	bóc
to pile up	chồng lên
to pinch	véo
to pity	thương hại
to press	ấn
to pretend	giả vờ
to prohibit	cấm
to prosper	thịnh vượng
to quieten down	im lặng lại
to rebuke	khiển trách
to recite	ngâm
to resemble closely	giống sát
to roll	lăn
to romp	nô đùa
to rot	thối
to rub	chà
to scatter	rải
to scold	mắng
to scoop	múc
to scorch	cháy sém
to scratch	cào
to serve sake	rót sake
to set up	dựng
to sew	may
to sharpen	mài
to shave	cạo
to show off	khoe
to show respect	tỏ lòng kính trọng
to shut up	im miệng
to sigh	thở dài
to skip over	bỏ qua
to slacken	nới
to slip out	lẻn ra
to snatch away	cướp mất
to sow	gieo
to spread	lan
to spread out	trải ra
to squat	ngồi xổm
to starve	đói
to stir up	khuấy động
to stir-fry	xào
to store	cất
to straddle	giạng chân
to strengthen	củng cố
to strike	đánh
to stumble	vấp
to suck	hút
to sue	kiện
to suffer	chịu khổ
to suffer from	mắc
to surpass	vượt
to swell	sưng
to take back	lấy lại
to take charge of	phụ trách
to tear off	xé ra
to thrust	thọc
to till	cày
to torment	hành hạ
to treat	chiêu đãi
to trick	lừa gạt
to twist	xoắn
to undertake	đảm nhận
to warm up	làm ấm
to wilt	héo
to wither	tàn
toast	nướng bánh mì
torii	cổng torii
tour guide	hướng dẫn viên
trade in	buôn
train	tàu hỏa
transfer	chuyển
transitive verb	tha động từ
transportation facilities	phương tiện giao thông
treasured article or vessel	bảo vật
true adjective	tính từ -i
turn	lượt
unconditionally	vô điều kiện
underground water	nước ngầm
university graduate	người tốt nghiệp đại học
unlucky day	ngày xấu
unrequited love	tình đơn phương
upper part	phần trên
usual custom	thói quen thường
various kinds of small trees	các loại cây nhỏ
verb suffix to indicate reckless abandon to the activity	hậu tố động từ chỉ làm ầm ầm
verbal statement	lời nói
waiting room	phòng chờ
walking around at night	đi đêm
war potential	tiềm lực chiến tranh
waste money on	tiêu phí vào
water fountain	đài phun nước
water outage	cắt nước
week after next	tuần sau nữa
week before last	tuần trước nữa
westering sun	nắng tây
western style	kiểu Tây
which reminds me	nhân tiện
while talking	trong lúc nói
white or grey hair	tóc bạc
wholesale store	cửa hàng sỉ
wine cups	chén rượu
winning a prize or place	đoạt giải
with gusto	hào hứng
with trouble	công phu
word root	gốc từ
working together	làm cùng
wrapping cloth	khăn gói furoshiki
writing brush	bút lông
written application or petition	đơn viết
written language	văn viết
year in school	năm học
yes or no	có hay không
youngest child	con út
zen	thiền
