marathon	chạy marathon
bleeding	chảy máu
whereabouts	nơi ở
quotient	thương số
pediatrics	nhi khoa
collation	đối chiếu
illumination	chiếu sáng
phenomenon	hiện tượng
distillation	chưng cất
concession	nhượng bộ
deliberation	thảo luận kỹ
vibration	rung
freshman	sinh viên năm nhất
devotion	tận tụy
gentleman	quý ông
presentation	trình bày
propulsion	đẩy tới
reasoning	suy luận
fountainhead	nguồn cội
flushing	xả nước
maturity	trưởng thành
constellation	chòm sao
purity	tinh khiết
native	bản địa
delicate	tinh tế
conjunction	liên từ
persuasion	thuyết phục
avalanche	tuyết lở
selection	lựa chọn
precedent	tiền lệ
annihilation	tiêu diệt
creation	sáng tạo
ornament	đồ trang trí
traveling	du hành
remittance	chuyển tiền
duration	thời lượng
physique	thể hình
interaction	tương tác
equivalent	tương đương
appointment	bổ nhiệm
degeneration	thoái hóa
extermination	tiêu diệt
substitution	thay thế
libretto	kịch bản opera
secession	ly khai
monotony	đơn điệu
expedition	cuộc thám hiểm
elasticity	đàn hồi
declaration	tuyên bố
discount	giảm giá
intellectual	trí thức
suffocation	ngạt thở
coloring	tô màu
poisoning	ngộ độc
neutrality	trung lập
neutralize	trung hòa
somersault	lộn nhào
fidelity	trung thành
auditing	kiểm toán
stethoscope	ống nghe
butterfly	bướm
mediation	hòa giải
connoisseur	người sành
coherence	mạch lạc
acceptance	chấp nhận
adaptation	thích nghi
aptitude	năng khiếu
ignition	đánh lửa
insolvency	phá sản
hibernation	ngủ đông
stealing	trộm cắp
mobilization	huy động
motive	động cơ
monopoly	độc quyền
originality	tính độc đáo
penetration	xâm nhập
stolidity	đờ đẫn
obtaining	thu được
nomination	đề cử
pregnancy	thai kỳ
cognizance	nhận thức
yearbook	niên giám
seniority	thâm niên
viscosity	độ nhớt
destruction	phá hủy
annulment	hủy bỏ
borrowing	vay mượn
drainage	thoát nước
disposition	sắp xếp
allotment	phân bổ
indemnity	bồi thường
persecution	đàn áp
excavation	khai quật
outbreak	bùng phát
starting	khởi đầu
counterblow	đòn phản công
edition	ấn bản
negation	phủ định
proportion	tỷ lệ
misconduct	hành vi sai trái
depiction	miêu tả
sensibility	cảm xúc tinh tế
disgrace	nhục nhã
appendix	phụ lục
millionaire	triệu phú
ubiquity	hiện diện khắp nơi
buoyancy	lực nổi
blockade	phong tỏa
1.  windmill	cối xay gió
storeroom	kho chứa
dispersion	phân tán
molecule	phân tử
denominator	mẫu số
finishing	hoàn thiện
repayment	trả nợ
insurance	bảo hiểm
maintaining	duy trì
pavement	vỉa hè
constable	cảnh sát
compensation	bồi thường
reparation	sửa chữa bồi thường
cemetery	nghĩa trang
collapse	sụp đổ
abandonment	từ bỏ
emission	khí thải
radioactivity	phóng xạ
courtroom	phòng xử án
saturation	bão hòa
violence	bạo lực
exposure	phơi bày
spinning	kéo sợi
manservant	người hầu nam
propriety	lễ nghi
substance	chất
instinct	bản năng
anaesthesia	gây mê
almighty	toàn năng
density	mật độ
reticence	ít nói
innocence	ngây thơ
ignorance	ngu dốt
inefficiency	kém hiệu quả
clarity	rõ ràng
exemption	miễn trừ
nighthawk	chim đêm
ascendancy	ưu thế
supremacy	tối cao
superiority	ưu việt
prominence	nổi bật
nomadism	du mục
versatility	đa năng
premonition	linh cảm
directions	hướng dẫn
suppression	đàn áp
barefoot	chân trần
attendance	có mặt
lawmaking	làm luật
acknowledgement	thừa nhận
conscience	lương tâm
forestry	lâm nghiệp
solidarity	đoàn kết
commonwealth	liên bang
recitation	đọc thuộc
senility	lão suy
