delicious	ngon
trouble	phiền toái
license	giấy phép
blanket	chăn
midnight	nửa đêm
overall victory	vô địch
validity	hiệu lực
advantageous	có lợi
mail	bưu điện
prediction	dự đoán
gist	điểm chính
wings	cánh
naked	trần truồng
storm	bão
six	sáu
ring	vòng
tear	nước mắt
lover	người yêu
serial	liên tiếp
basket	rổ
luxury	xa xỉ
accent	trọng âm
yawn	ngáp
antenna	ăng-ten
etiquette	lễ nghi
apron	tạp dề
orchestra	dàn nhạc
automation	tự động hóa
curve	đường cong
calorie	calo
gang	băng đảng
cooler	máy lạnh
contest	cuộc thi
siren	còi báo
quickly	nhanh chóng
silent	im lặng
shutter	cửa chớp
rock-scissors-paper game	oẳn tù tì
stewardess	tiếp viên hàng không
sour	chua
stockings	tất dài
speaker	loa
seminar	seminar
cement	xi măng
diagram	biểu đồ
diamond	kim cương
dial	mặt số
tempo	nhịp
nylon	nilông
screw	ốc vít
pistol	súng lục
vitamin	vitamin
vinyl	nhựa vinyl
pink	màu hồng
fastener	khóa kéo
blouse	áo blouse
hang	treo
brushy	bàn chải
plastic	nhựa
print	in
brooch	trâm cài
program	chương trình
veteran	cựu binh
helicopter	trực thăng
pliers	kìm
bonus	tiền thưởng
poster	áp phích
mask	khẩu trang
marathon	chạy marathon
menu	thực đơn
motor	động cơ
monorail	tàu một ray
launch	bữa trưa
running	chạy bộ
rhythm	nhịp điệu
ribbon	ruy băng
raincoat	áo mưa
lens	thấu kính
locker	tủ khóa
lobby	sảnh
alighting	xuống xe
drainage	cống rãnh
underline	gạch dưới
aerial	trên không
volcano	núi lửa
fireworks	pháo hoa
taxation	đánh thuế
cargo	hàng hóa
mosquito	muỗi
breakup	giải tán
lump	cục
remodeling	cải tạo
ocean	đại dương
colors	màu vẽ
the outside	bên ngoài
hedge	hàng rào
shell	vỏ
probability	xác suất
angle	góc
department of a university	khoa đại học
multiplication	phép nhân
parenthesis	dấu ngoặc
impressions	cảm tưởng
ventilation	thông gió
packing	đóng gói
observation	quan sát
appreciation	thưởng thức
utensil	dụng cụ
famine	nạn đói
reverse	ngược
inversion	lộn ngược
closed	nghỉ việc
allowance	trợ cấp
fisherman	ngư dân
boundary	ranh giới
resound	vang
goldfish	cá vàng
limits	khu vực
daydream	mơ mộng
comb	lược
form	hình thức
honorific	kính ngữ
longitude	kinh độ
modesty	khiêm tốn
humble	khiêm nhường
microscope	kính hiển vi
place of origin	nơi sản xuất
origin	nguyên thủy
paste	hồ dán
pepper	hạt tiêu
pleasure	giải trí
achievements	thành tích
lipstick	son môi
plaza	quảng trường
maple	lá phong
lecturer	giảng viên
mineral	khoáng vật
item	mục
perfume	nước hoa
rational	hợp lý
nationality	quốc tịch
calamity	tai họa
sewing	may vá
in school	đang học
lumber	gỗ
manufacture	chế tạo
elimination	xóa bỏ
photographing	chụp ảnh
triangle	tam giác
arithmetic	số học
abacus	bàn tính
acidity	tính axit
sliced raw fish	sashimi
designation	chỉ định
corpse	xác chết
wastepaper	giấy vụn
purple colour	màu tím
gear	bánh răng
children	trẻ em
magnet	nam châm
writing	viết
stripe	sọc
sketching	vẽ ký họa
editorial	xã luận
garage	nhà để xe
conductor	trưởng tàu
wheel	bánh xe
faucet	vòi nước
subject	chủ ngữ
moderate	vừa phải
wrist	cổ tay
restroom	nhà vệ sinh
procedure	thủ tục
repairs	sửa sang
receiver	ống nghe
penmanship	tập viết
idiom	thành ngữ
predicate	vị ngữ
bookshop	hiệu sách
calligraphy	thư pháp
writing down	gửi bảo đảm
fraction	số thập phân
alcove	tokonoma
digestion	tiêu hóa
disinfection	khử trùng
omission	lược bỏ
humid	nồm
evaporation	bay hơi
garden shrubs	cây cảnh
tableware	bát đĩa
lips	môi
sleep-wear	đồ ngủ
bullet train	tàu shinkansen
late at night	nửa đêm
myth	thần thoại
thumb	ngón cái
wire	dây thép
social sciences	khoa học nhân văn
vinegar	giấm
chart	biểu đồ
vertical	thẳng đứng
marine products	thủy sản
hydrogen	hydro
canteen	bình nước
drunkard	người say
essays	tùy bút
political party	đảng phái
integer	số nguyên
adjustment	bảo dưỡng
equator	xích đạo
propaganda	tuyên truyền
stopper	nút
around	trước sau
zoori	dép zori
funeral	đám tang
farewell	tiễn biệt
postage	cước gửi
increase and decrease	tăng giảm
shipbuilding	đóng tàu
measurement	đo đạc
footprints	dấu chân
tabi	tất tabi
know	biết (khiêm nhường)
drum	trống
ellipse	elip
gymnastics	thể dục
lending	cho mượn
pronoun	đại từ
much	không lắm
carpenter	thợ mộc
waterfall	thác
derailment	trật bánh
shoulder	vác
ground	nền đất
bamboo	tre
neuter gender	trung tính
reconciliation	hòa giải
nap	ngủ trưa
carving	chạm khắc
condiment	gia vị
currency	tiền tệ
passbook	sổ tiết kiệm
interpretation	phiên dịch
fingernail or toenail	móng
razor	dao cạo
ruler	thước
nail	đinh
biography	tiểu sử
contagion	lây nhiễm
paddy field	ruộng
nausea	buồn nôn
orient	phương Đông
theft	trộm cắp
teacup	tách trà
lighthouse	hải đăng
unity	thống nhất
railway crossing	nơi cắt đường sắt
transparency	trong suốt
itinerary	lộ trình
forte	điểm mạnh
south pole	Nam Cực
rainbow	cầu vồng
sunrise	bình minh
shadow	bóng râm
concentration	nồng độ
fragment	mảnh vỡ
amount sold	doanh thu
scales	cân
aunt	cô/dì
firing	phóng
radius	bán kính
peninsula	bán đảo
cynicism	châm biếm
elbow	khuỷu tay
writer	tác giả
front cover	bìa sách
diffusion	phổ biến
attached	trực thuộc
balloon	bóng bay
adverb	trạng từ
plural	số nhiều
classification	phân loại
context	ngữ cảnh
soldier	lính
hiragana	hiragana
weekday	ngày thường
closure	bế mạc
holiday house	nhà nghỉ
katakana	katakana
editing	biên tập
health preservation	y tế dự phòng
recruiting	tuyển mộ
bandage	băng
dialect	phương ngữ
equation	phương trình
telescope	kính thiên văn
farm	trang trại
pillow	gối
infinite	vô hạn
plain	trơn
contradiction	mâu thuẫn
masterpiece	kiệt tác
noun	danh từ
superstition	mê tín
niece	cháu gái
alarm-clock	đồng hồ báo thức
questions and answers	hỏi đáp
pharmacy	hiệu thuốc
mailing	gửi bưu điện
evening shower	mưa chiều
infancy	ấu trĩ
kindergarten	mẫu giáo
container	đồ đựng
lava	dung nham
nourishment	dinh dưỡng
avarice	tham lam
bathrobe	yukata
basin	lưu vực
care-taking	trông nhà
grain	hạt
hostel	ký túc xá
consul	lãnh sự
brick	gạch
candle	nến
recording	ghi âm
broom	chổi
alkali	kiềm
aluminum	nhôm
hour	giờ
encore	bis
interchange	nút giao
intercom	điện thoại nội bộ
inflation	lạm phát
orientation	định hướng
attendant	người đi cùng
birth	sinh nở
errand	việc vặt
guidebook	sách hướng dẫn
cocktail	cocktail
category	thể loại
comeback	trở lại
cameraman	quay phim
clinical records	bệnh án
cunning	gian lận
career	sự nghiệp
quiz	câu đố
club	câu lạc bộ
graph	đồ thị
crane	cần cẩu
#name	tháng
compass	la bàn
jeans	quần jean
jazz	nhạc jazz
jumbo	khổng lồ
genre	thể loại
shock	cú sốc
studio	studio
nimble	nhanh nhẹn
slacks	quần âu
jelly	thạch
solo	đơn ca
dozen	tá
typist	người đánh máy
timer	đồng hồ hẹn giờ
timing	thời điểm
tile	gạch men
dump	bãi rác
teamwork	làm việc nhóm
chime	chuông
pamper	nuông chiều
dessert	tráng miệng
rough sketch	phác thảo
demonstration	biểu tình
telex	telex
if	nếu
transistor	transistor
drill	mũi khoan
napkin	khăn ăn
nuance	sắc thái
negative	âm bản
screwdriver	tua vít
neurosis	loạn thần kinh
pajamas	đồ ngủ
pachinko	pachinko
badge	huy hiệu
hangar	nhà chứa máy bay
virus	vi-rút
hint	gợi ý
filter	bộ lọc
boots	ủng
boom	bùng nổ
ferry	phà
buzzer	chuông bấm
dangle heavily	lủng lẳng
front	phía trước
fawn	nịnh nọt
best-seller	sách bán chạy
boycott	tẩy chay
hose	ống nước
pause	tạm dừng
hall	hội trường
volt	vôn
pump	bơm
mark	dấu
massage	mát-xa
misprint	in sai
maker	nhà sản xuất
melody	giai điệu
motel	nhà nghỉ
monitor	màn hình
rice	gạo
label	nhãn
race	cuộc đua
lady	quý cô
lever	cần gạt
hire car	xe thuê
x-ray	x-quang
romantic	lãng mạn
watt	oát
suborder	phân bộ
civility	lịch sự
evil	ác
deterioration	suy đồi
bad fellow	kẻ xấu
reed	sậy
assassination	ám sát
darkness	bóng tối
dependence	phụ thuộc
consign to a firm)	ký gửi
objection	phản đối
migration	di cư
emigration	di cư ra nước ngoài
clothing	quần áo
lightning	sét
swirl	xoáy
shipping	vận chuyển
freight rates	cước vận tải
transport	vận tải
transportation	giao thông
projection	chiếu
reflection	phản xạ
hero	anh hùng
tobacco	thuốc lá
uncleanness	nhơ bẩn
nephew	cháu trai
cowardice	nhát
tone color	âm sắc
diarrhoea	tiêu chảy
fossil	hóa thạch
which	cái nào
seasoning	gia vị
domestic animals	gia súc
retainer	gia thần
rivers	sông ngòi
spark	tia lửa
petal	cánh hoa
pollen	phấn hoa
load	tải
depopulation	giảm dân
overwork	làm quá sức
stroke	nét
intervention	can thiệp
dissection	giải phẫu
forwarding	chuyển phát
circulation	lưu thông
monster	quái vật
maritime	hàng hải
channel	kênh
reclamation	khai hoang
-floor	tầng
cliff	vách đá
general idea	khái niệm
~street	phố
highway	đường cao tốc
scattering	phân tán
qualitative difference	chênh lệch
nucleus	hạt nhân
acquisition	thu được
guarantee	bảo đảm
optimism	lạc quan
chin	cằm
credit	tín dụng
allotment	phân bổ
smoothness	trơn tru
funny	buồn cười
gruel	cháo
pardon	tha thứ
bureaucrat	quan chức
forbearance	khoan dung
interference	can thiệp
trunk	thân
infection	nhiễm trùng
sensitivity	nhạy cảm
cheer	cổ vũ
lenient	khoan dung
spectators	khán giả
viewing	xem
60th birthday	thọ 60
cancer	ung thư
ophthalmology	nhãn khoa
eyeball	nhãn cầu
imitation	bắt chước
stubbornness	bướng bỉnh
comedy	hài kịch
donation	quyên góp
loom	khung cửi
whim	ý thích bất chợt
steamship	tàu hơi nước
prayer	cầu nguyện
describing	miêu tả
undulation	nhấp nhô
orbit	quỹ đạo
forgery	giả mạo
sacrifice	hy sinh
objective	mục tiêu
change	thay đổi
handstand	chống đầu
hill	đồi
temporary absence from school	nghỉ học tạm
truce	đình chiến
palace	cung điện
bulb	bóng đèn
poverty	nghèo
residence	cư trú
denial	phủ nhận
coeducation	học chung nam nữ
communism	chủ nghĩa cộng sản
forcing	ép buộc
threat	đe dọa
excitement	hưng phấn
nostalgia	nhớ nhà
wonder	kỳ diệu
paradise	thiên đường
labor	lao động
taboo	kiêng kỵ
nearsightedness	cận thị
shortsightedness	cận thị
hammer	búa
testing	thử
idle complaint	than vãn
blank	trống
vacancy	chỗ trống
hunger	đói
bending	uốn
warship	tàu chiến
armaments	vũ khí
lean	gầy
blessing	phúc
carrying something	mang theo
details	chi tiết
expenses	chi phí
stalk	thân cây
meter	mét
warning	cảnh báo
abatement	giảm
scorn	khinh
rash	phát ban
troupe	đoàn kịch
encouragement	khuyến khích
crystal	pha lê
date	ngày
offering prizes	treo thưởng
formal marriage interview	omiai
estimation	ước lượng
viewpoint	cách nhìn
declaration	tuyên bố
antiquity	thời xưa
fixation	cố định
orphan	trẻ mồ côi
isolation	cô độc
the late	cố
groin	háng
exaggeration	phóng đại
retreat	rút lui
a discount	giảm giá
look	hãy xem
words	cụm từ
vocabulary	từ vựng
negotiations	đàm phán
delivering	cấp phát
brilliance	độ bóng
official recognition	công nhận
oral	miệng
for ~	dành cho
dirt	cặn bẩn
engineering	kỹ thuật
protest	phản kháng
subsidy	khấu trừ
posture	tư thế
archaeology	khảo cổ
sail	hải hành
misunderstanding	hiểu lầm
march	diễu hành
rainfall	mưa
spices	gia vị cay
tableland	cao nguyên
interval	khoảng trống
consultation	hội ý
inform	báo
realm	lãnh thổ
curio	đồ cổ
something small or petty	chuyện vặt
very	không đến nỗi
deduct	trừ
gravel	sỏi
fraud	lừa đảo
symposium	tọa đàm
rebuilding	tái thiết
playback	tái sinh
mining	khai thác
collecting	thu thập
cultivation	trồng trọt
bacillus	vi khuẩn
fortune	tài sản
source of funds	nguồn tài chính
fence	hàng rào
optical illusion	ảo giác
counter for books	quyển
murder	giết người
miscellaneous goods	tạp hóa
chatting	tán gẫu
three	ba
three-stringed japanese guitar	đàn shamisen
calling on	đến thăm
mountains	núi non
hillside	sườn núi
postpartum	sau sinh
yield	sản lượng
acid	axit
oxidation	oxy hóa
device	cơ chế
partition	ngăn
thorn	gai
embroidery	thêu
thought	suy nghĩ
indication	chỉ thị
instruction	chỉ đạo
orders	mệnh lệnh
execution	thi hành
sense of sight	thị giác
qualifications	tư cách
grant	ban cho
female	con cái
breeding	nuôi dưỡng
dentistry	nha khoa
samurai	samurai
magnetism	từ tính
otolaryngology	tai mũi họng
self	cái tôi
pretension	kiêu
rotation	tự quay
independence	tự lập
resignation	từ chức
axis	trục
attachment	bám víu
disqualification	mất tư cách
jealousy	ghen tị
industrialist	doanh nhân
substance	thực chất
weakness	yếu
weaken	làm yếu
starring	vai chính
protagonist	nhân vật chính
swap	đổi
security guard	bảo vệ
preparations	chuẩn bị
handicrafts	thủ công
handcuffs	còng tay
number of moves	số lần
technique	kỹ pháp
necklace	vòng cổ
earnings	doanh thu
accommodation	chứa
circuit	vòng
ornamentation	tu sức
totalization	tổng kết
fullness	đầy đủ
10 minutes	mười phút
beast	thú
duplication	trùng lặp
priceless treasure	báu vật
coaching school	lò luyện
bleeding	chảy máu
sailing	xuất phát
wink	nháy mắt
shield	khiên
whereabouts	nơi ở
possession	sở hữu
particle	trợ từ
quotient	thương
pediatrics	nhi khoa
retail	bán lẻ
the palm	lòng bàn tay
treetop	ngọn cây
collation	đối chiếu
illumination	chiếu sáng
reflect	suy xét
phenomenon	hiện tượng
symbol	biểu tượng
performance	biểu diễn
superior authorities	cấp trên
treaty	hiệp ước
cane	gậy
distillation	chưng cất
concession	nhượng bộ
colony	thuộc địa
weave	dệt
textile	vải dệt
believer	tín đồ
deliberation	thẩm nghị
outset	xuất phát
oscillation	rung
freshman	sinh viên năm nhất
pearl	ngọc trai
sincerity	tấm lòng
mystery	huyền bí
gentleman	quý ông
gesture	cử chỉ
presentation	tặng
hostage	con tin
glimpse	ánh mắt người
dustpan	ki hốt rác
propulsion	thúc đẩy
guess	suy đoán
reasoning	suy luận
moisture	hơi nước
source of river	nguồn nước
flushing	xả nước
worship	sùng bái
numeral	số từ
install	lắp đặt
cuff	gấu quần
results	thành quả
maturity	trưởng thành
constellation	chòm sao
clean	trong sạch
purity	thuần khiết
by nature	bẩm sinh
living flesh	cơ thể
physiology	sinh lý
elaborate	tinh xảo
bible	Kinh Thánh
manufacturing method	cách chế
sincere	thành thực
youth	tuổi trẻ
stillness	tĩnh
static	tĩnh
deficit	thâm hụt
heir	người thừa kế
conjunction	liên từ
persuasion	thuyết phục
avalanche	tuyết lở
despair	tuyệt vọng
hermit	ẩn sĩ
tactics	chiến thuật
wretched	tồi tệ
pierce	thấm
diving	lặn
fibre	sợi
selection	tuyển chọn
advance sale	bán trước
precedent	tiền lệ
goodness	lương thiện
annihilation	tiêu diệt
measure	biện pháp
fast	nhanh
creation	sáng tạo
row	chèo
ornament	trang trí
running a wheeled vehicle	chạy xe
remittance	chuyển tiền
hatred	hận thù
duration	tồn tại
saliva	nước bọt
compromise	thỏa hiệp
physique	thể hình
interaction	ứng phó
deal with	xử lý
equivalent	ngang hàng
opposite side	cạnh đối
appointment	hẹn gặp
non-payment	nợ thuế
thigh	đùi
degeneration	thoái hóa
extermination	tiêu diệt
substitution	thay thế
libretto	kịch bản
mess	hỏng hết
feces	phân
ordinal	thứ
secession	rút lui
monotony	đơn điệu
carry on shoulder	gánh
stretcher	cáng
exploration	thám hiểm
grief	than thở
carbon	cacbon
tanka	thơ tanka
protein	protein
flip	bật
elasticity	đàn hồi
price reduction	giảm giá
intellectual	trí tuệ
terrain	địa hình
hell	địa ngục
slack	chùng
accumulation	tích lũy
suffocation	ngạt thở
embarkation	bắt tay vào
colouring	tô màu
relay	tiếp sóng
slander	phỉ báng
centre	trung khu
poisoning	ngộ độc
neutrality	trung lập
neutralize	trung hòa
somersault	nhào lộn
fidelity	trung thành
lottery	bốc thăm
paper patch	tờ dán
tide	thủy triều
lecture attendance	dự giảng
stethoscope	ống nghe y
guts	ruột
butterfly	bướm
arbitration	hòa giải
chief	chánh
head	đỉnh
sinking	chìm
wages	tiền công
tsunami	sóng thần
falling	rơi
pursuit	truy đuổi
exile	trục xuất
connoisseur	người sành
coherence	mạch lạc
strap	tay nắm
fishing	câu cá
offer	cung cấp
adaptation	thích ứng
aptitude	năng khiếu
iron rod	xà đơn
ceiling	trần nhà
convert	chuyển đổi
ignition	đánh lửa
betting	cá cược
arena	sàn đấu
hibernation	ngủ đông
stealing	ăn cắp
possibly	không thể nào
flight	bỏ trốn
pottery	gốm
mobilization	huy động
motive	động cơ
dynamic	năng động
disturbance	dao động
power	động lực
sympathy	đồng điệu
yearning	khao khát
dojo	võ đường
copper	đồng
monopoly	độc quyền
originality	độc sáng
reader	độc giả
breaking through	đột phá
thickheadedness	trơ
cabinet	nội các
internal organs	nội tạng
inland	nội địa
domesticate	thuần hóa
difficulty	khó khăn
sunburn	cháy nắng
obtaining	có được
urine	nước tiểu
conception	mang thai
recognition	nhận thức
yearbook	niên giám
seniority	lớn tuổi
burning	cháy
fuel	nhiên liệu
stickyness	độ dính
grasp	nắm bắt
destruction	phá hủy
revocation	hủy bỏ
explosion	nổ
annullment	bãi bỏ
abolition	bãi bỏ
borrowing	mượn
defeat	thất trận
arrangement	bố trí
distribution	phân phối
sale	xả hàng
reparations	bồi thường
counter for nights of a stay	đêm
persecution	bức hại
bomb	bom
blast	nổ phá
excavation	khai quật
outbreak	phát sinh
starting	khởi đầu
punishment	trừng phạt
roll of cloth	cuộn vải
warp	cong
antipathy	ác cảm
echo	vang vọng
counterattack	phản công
insurrection	nổi loạn
spots	đốm
edition	bản in
rejection	bác bỏ
misery	bi thảm
shriek	tiếng thét
door	cánh cửa
proportion	tỷ lệ
secretary	thư ký
manure	phân bón
faulty-	phi
delinquency	hư hỏng
tail	đuôi
eyebrow	lông mày
beauty	vẻ đẹp
motto	khẩu hiệu
depiction	miêu tả
sensibility	nhạy
bad reputation	tiếng xấu
appendix	phụ lục
wealthy person	đại gia
edict	bố cáo
universality	phổ quát
buoyancy	lực nổi
decay	thối rữa
injury	thương tích
new appointment	nhậm chức
blockade	phong tỏa
windmill	cối xay gió
revival	phục hưng
overturn	lật đổ
boiling	sôi
french	Pháp
storeroom	kho
minute	phút
dispersion	phân tán
numerator	tử số
denominator	mẫu số
split	tách
spewing	phun
fire	lửa trại
closing	đóng cửa
tidying up	dọn dẹp
repayment	trả nợ
insurance	bảo hiểm
conservative	bảo thủ
pavement	láng đường
whaling	săn cá voi
constable	cảnh lại
compensation	bồi thường
cemetery	nghĩa trang
imitate	bắt chước
attendance	đến dự
peak	đỉnh núi
collapse	sụp đổ
abandonment	từ bỏ
radiation	bức xạ
radioactivity	phóng xạ
release	giải phóng
courtroom	phòng xử
saturation	bão hòa
violence	bạo lực
disclosure	phơi bày
spinning	kéo sợi
cheek	má
manservant	người hầu
pastor	mục sư
propriety	đúng bài bản
instinct	bản năng
flax	gai dầu
anaesthesia	gây mê
paralysis	liệt
counter for flat objects	tờ
membrane	màng
all-purpose	vạn năng
not yet fixed	chưa định
crowd	chen chúc
density	mật độ
pulse	mạch
reticence	ít nói
innocence	ngây thơ
wireless	vô tuyến
ignorance	ngu dốt
inefficiency	bất tài
useless	vô dụng
honor	danh dự
clarity	rõ ràng
exemption	miễn
pimple	mụn
groping	mò mẫm
violent	dữ dội
eyelid	mí mắt
bedding	chăn gối
staying up late	thức khuya
ambition	tham vọng
wild	hoang dã
arrow	mũi tên
gentle	dịu
predominance	ưu thế
supremacy	ưu việt
superiority	ưu thế
bravery	dũng cảm
organic	hữu cơ
influence	có thế lực
temptation	cám dỗ
nomadism	du mục
presentiment	linh cảm
directions	cách dùng
suppression	kiềm chế
greedy	tham
desire	dục vọng
barefoot	chân đất
entangle	vướng
legislation	lập pháp
abbreviation	từ viết tắt
pillage	cướp bóc
collected things	đọng lại
acknowledgement	thừa nhận
conscience	lương tâm
forestry	lâm nghiệp
analogy	suy luận tương tự
lotus	sen
solidarity	đoàn kết
commonwealth	liên bang
reading aloud	đọc thành tiếng
senility	suy lão
logic	logic
planet	hành tinh
frame	khung
apology	xin lỗi
beak	mỏ
excreta	phân tiểu
gorgeous	lộng lẫy
wrinkles	nếp nhăn
heel	gót
wince	chùn bước
snoring	ngáy
